Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-December-2023,132.50,134.70,131.65,133.50,133.428159029326095285,3466128,27681,462479078.00,1046487,30.19,3.05,1.00
21-December-2023,128.90,131.40,127.80,131.00,130.016896012744551088,3163705,19858,411335104.00,491071,15.52,3.60,2.10
20-December-2023,135.90,136.00,128.70,129.70,132.581686726247686812,4182540,44952,554528208.00,1822362,43.57,7.30,-6.20
19-December-2023,137.25,137.55,134.80,135.40,135.817388732759133590,2857310,23748,388072383.00,1394025,48.79,2.75,-1.85
18-December-2023,137.20,137.65,135.10,136.60,136.708356828742269400,2184824,20308,298683699.00,732334,33.52,2.55,-0.60
15-December-2023,133.05,136.70,133.05,136.40,135.130966095438634457,6986877,62325,944143439.00,4320100,61.83,3.65,3.35
14-December-2023,131.65,133.25,131.40,132.00,132.396779987303684512,1937570,14819,256528029.00,626606,32.34,1.85,0.35
13-December-2023,130.70,131.55,129.15,131.35,130.603441368070361194,2500924,38848,326629281.00,1298484,51.92,2.40,0.65
12-December-2023,130.10,132.10,129.70,130.15,131.041642364055335032,2856346,24300,374300271.00,1244472,43.57,2.40,0.05
11-December-2023,129.70,130.50,128.70,130.05,129.828525304099714671,3329500,27098,432264075.00,1614322,48.49,1.80,0.35
8-December-2023,130.35,131.40,127.90,129.20,129.626036541222020526,3449091,40954,447091996.00,1346710,39.05,3.50,-1.15
7-December-2023,131.95,132.20,129.75,130.00,130.606100251797627391,1540920,12510,201253552.00,641338,41.62,2.45,-1.95
6-December-2023,132.25,133.35,130.80,131.80,132.087841272444043617,4085995,31366,539710259.00,2749997,67.30,2.55,-0.45
5-December-2023,131.15,132.50,130.00,131.60,131.294984254269083833,1358781,11678,178401130.00,521032,38.35,2.50,0.45
4-December-2023,132.45,132.45,130.40,130.95,131.114300645028592201,1672484,16744,219286570.00,723271,43.25,2.05,-1.50
1-December-2023,128.60,130.35,127.95,129.95,129.353702150447928806,4003538,50065,517872462.00,2215402,55.34,2.40,1.35
30-November-2023,127.95,128.80,126.50,127.95,127.857711099351871376,1005356,10395,128542517.00,305319,30.37,2.30,0.00
29-November-2023,127.05,128.15,126.75,127.70,127.547123613920337090,1615708,19990,206078908.00,1038301,64.26,1.40,0.65
28-November-2023,126.75,127.00,126.00,126.85,126.401067776626442319,798107,9820,100881577.00,366526,45.92,1.00,0.10
24-November-2023,126.60,127.05,125.55,125.90,126.095969085053336445,1396606,15276,176106387.00,446021,31.94,1.50,-0.70
23-November-2023,126.20,127.40,125.90,126.70,126.821928576668944045,3489392,39779,442531423.00,1858228,53.25,1.50,0.50
22-November-2023,126.50,126.90,125.40,126.10,126.139503007571853489,1402959,13678,176968551.00,790952,56.38,1.50,-0.40
21-November-2023,124.95,126.35,124.95,126.25,125.978116633908622619,2619204,20534,329962387.00,1345323,51.36,1.40,1.30
20-November-2023,125.15,125.65,124.05,124.45,124.937044631115034648,1762582,24000,220211786.00,1026578,58.24,1.60,-0.70
17-November-2023,124.70,126.00,124.30,125.15,125.244072045142065869,2648173,21657,331667970.00,1316346,49.71,1.70,0.45
16-November-2023,124.00,125.25,123.00,124.70,124.446528379471716705,1185311,10342,147507839.00,395610,33.38,2.25,0.70
15-November-2023,121.55,124.35,121.55,124.00,123.352370591702269281,1705165,17707,210336145.00,630519,36.98,2.80,2.45
13-November-2023,121.00,121.25,119.95,120.95,120.827132300792504024,1359236,22777,164232588.00,883465,65.00,1.30,-0.05
12-November-2023,121.90,121.90,120.60,120.85,120.915036976713838062,605381,16003,73199666.00,437332,72.24,1.30,-1.05
10-November-2023,119.65,120.45,118.80,120.10,119.873093808361292535,2705132,33009,324272542.00,1520579,56.21,1.65,0.45
9-November-2023,119.40,120.50,118.85,119.70,119.642584651948302455,1420493,13080,169951454.00,547143,38.52,1.65,0.30
8-November-2023,119.95,120.45,118.55,119.05,119.173048734783393251,1440860,18441,171711679.00,517249,35.90,1.90,-0.90
7-November-2023,119.40,120.20,118.40,119.75,119.654247153031196419,2208138,17893,264213090.00,1165699,52.79,1.80,0.35
6-November-2023,118.90,119.65,117.50,119.40,118.509575919135512553,2088729,21588,247534388.00,1026465,49.14,2.15,0.50
3-November-2023,118.30,118.60,117.05,117.30,117.800052200894412239,3973112,30898,468032801.00,2046275,51.50,1.55,-1.00
2-November-2023,114.25,118.60,114.25,118.15,116.556526250805956083,2771553,21061,323042590.00,674486,24.34,4.35,3.90
1-November-2023,119.00,119.10,116.00,116.60,117.891195422870177360,1913164,29536,225545191.00,730237,38.17,3.10,-2.40
31-October-2023,119.75,120.15,118.40,118.75,119.070521375110998350,1379525,19452,164260761.00,523166,37.92,1.75,-1.00
